id,developer
1000674,Mike Hoyt
1000674,"Ion International, Inc."
1000675,Palitoy
1000675,Tomytronics
1000676,"Synergistic Software, Inc."
1000677,Zaccaria
1000678,Sierra On-Line
1000679,Atari
1000680,IBM
1000681,Atari
1000681,Polyvox
1000682,Hoei International Inc.
1000683,Atari
1000684,"Automated Simulations, Inc."
1000685,Game Plan
1000686,Chameleon Software
1000686,Adventure International
1000687,Magnavox
1000688,Muse Software
1000689,Data East Corporation
1000690,"Automated Simulations, Inc."
1000690,Epyx
1000692,"Sega Enterprises, Inc."
1000693,Radofin Electronics
1000694,Big Five Software
1000695,Acetronic
1000695,Philips Semiconductors
1000697,Data East Corporation
1000698,"SSI (Strategic Simulations, Inc.)"
1000699,Data East Corporation
1000700,Texas Instruments Incorporated
1000701,Sega/Gremlin
1000701,Nintendo R&D1
1000702,"4D Interactive Systems, Inc."
1000702,The Avalon Hill Game Company
1000703,"SSI (Strategic Simulations, Inc.)"
1000704,Adventure International
1000705,Magnavox
1000706,Nintendo
1000707,Magnavox
1000708,Adventure International
1000708,Tynesoft
1000709,"Universal Co., Ltd."
1000710,Highlands Computer Services
1000711,IBM
1000711,On-Line Systems
1000712,Zaccaria
1000713,Sierra On-Line
1000714,Atari
1000715,Epyx
1000715,"Automated Simulations, Inc."
1000716,Exidy
1000717,Adventure International
1000718,Mattel Electronics
1000718,APh Technological Consulting
1000719,All American Adventures
1000719,On-Line Systems
1000720,Atari
1000721,Game Plan
1000722,Chameleon Software
1000722,Adventure International
1000723,"Automated Simulations, Inc."
1000723,Epyx
1000724,Activision
1000725,"Sega Enterprises, Inc."
1000726,Radofin Electronics
1000727,Crystalware
1000728,Crystalware
1000730,Centuri
1000731,"Atari, Inc."
1000731,Atari
1000732,Big Five Software
1000733,Frank Corr JR
1000733,Med Systems Software
1000734,Adventure International
1000734,Robert Lafore
1000735,Magnavox
1000736,ACE Newsletter
1000737,APh Technological Consulting
1000737,Mattel Electronics
1000738,Texas Instruments Incorporated
1000739,Sega/Gremlin
1000739,Nintendo R&D1
1000740,"4D Interactive Systems, Inc."
1000740,The Avalon Hill Game Company
1000741,"SSI (Strategic Simulations, Inc.)"
1000742,Mike Hoyt
1000742,"Ion International, Inc."
1000743,Aim Software
1000744,Polyvox
1000744,Atari
1000745,SNK
1000746,Data East
1000747,APh Technological Consulting
1000747,Mattel Electronics
1000748,Palitoy
1000748,Tomytronics
1000749,"Synergistic Software, Inc."
1000750,Zaccaria
1000751,Mattel Electronics
1000751,APh Technological Consulting
1000752,Atari
1000753,Nichibutsu
1000754,Magnavox
1000754,N.V. Philips Gloeilampenfabrieken
1000756,Activision
1000757,Robert G. Kilgus
1000757,Tandy
1000758,Acetronic
1000758,Philips Semiconductors
1000759,Coleco
1000759,"Universal Co., Ltd."
1000760,Adventure International
1000760,Robert Lafore
1000761,Konami
1000761,Stern Electronics
1000762,Adventure International
1000763,Philips
1000766,Nintendo
1000767,Artic
1000767,Konami
1000768,Magnavox
1000769,N.V. Philips Gloeilampenfabrieken
1000772,"Apollo, Inc."
1000773,Magnavox
1000774,Cidelsa
1000776,Texas Instruments Incorporated
1000778,US Billiards
1000779,Namco
1000779,Midway
1000781,Comsoft
1000782,Konami
1000783,Texas Instruments Incorporated
1000784,Data East Corporation
1000785,Sega
1000785,Konami
1000786,Sun Electronics
1000786,Gifu Tokki
1000787,Nintendo
1000788,Quicksilva Ltd.
1000788,Gremlin Industries
1000789,Atari Corporation
1000789,Atari
1000790,Polyvox
1000791,Centuri
1000791,Tehkan
1000792,Atari
1000792,Polyvox
1000793,Game-A-Tron
1000794,Mattel Electronics
1000795,Nintendo
1000796,Data East
1000797,Digiplay
1000797,Mattel Electronics
1000799,Irem
1000800,UA Limited
1000800,Tehkan
1000802,Stern
1000804,Taito Corporation
1000806,Irem
1000807,California Pacific Computer
1000807,Origin Systems
1000808,SoftSide Publications
1000809,Sigma Enterprises
1000810,Taito Corporation
1000811,Taito Corporation
1000811,Nidecom Soft
1000813,Konami
1000813,Sega
1000814,"Universal Co., Ltd."
1000815,Atarisoft
1000815,"Atari, Inc."
1000816,Konami
1000816,Sega
1000817,Digiplay
1000817,Data East
1000818,Nintendo
1000819,Hoei
1000819,Sega
1000820,Nintendo R&D1
1000820,Nintendo
1000821,Polyvox
1000821,Tose
1000822,Ikegami Tsushinki
1000822,Nintendo
1000823,Nintendo
1000824,Epoch
1000825,Epoch
1000826,Epoch
1000827,Mattel Electronics
1000828,Dave Nutting Associates
1000828,"Astrovision, Inc."
1000829,Dave Nutting Associates
1000829,"Astrovision, Inc."
1000830,Gremlin Industries
1000830,Konami
1000831,Atari Program Exchange
1000832,Nintendo
1000834,Level-10
1000835,"Astrovision, Inc."
1000835,Dave Nutting Associates
1000836,Midway
1000836,Namco Limited
1000837,Bandai
1000837,Sir-tech Software
1000838,"Astrovision, Inc."
1000838,Bally Manufacturing
1000839,Namco
1000839,Rock-Ola Manufacturing Corporation
1000840,Muse Software
1000840,Main Street Publishing
1000841,Nintendo
1000842,Centuri
1000842,Taito
1000843,"Sega Enterprises, Ltd."
1000843,"Sega Enterprises, Inc."
1000844,Atari Corporation
1000844,Atari
1000845,Atari
1000845,Taito
1000846,SNK
1000846,Rock-Ola Manufacturing Corporation
1000847,Elektor Software Service
1000847,G. Roberts
1000848,On-Line Systems
1000849,Nintendo
1000850,Nintendo
1000851,Epoch
1000852,Digiplay
1000852,Mattel Electronics
1000853,Digiplay
1000853,APh Technological Consulting
1000854,Digiplay
1000854,Mattel Electronics
1000855,Digiplay
1000855,Mattel Electronics
1000856,Nichibutsu
1000857,Konami
1000858,"Kural Electric, Ltd."
1000858,Alpha Denshi
1000859,Cinematronics
1000859,Milton Bradley
1000860,North American Philips Consumer Electronics Corp.
1000860,Konami
1000861,Sinneslöschen Corporation
1000862,J. K. Greye Software
1000863,Gremlin Industries
1000863,Sega
1000865,"Commodore Business Machines, Inc."
1000865,Midway Manufacturing
1000866,J. K. Greye Software
1000867,Nintendo
1000868,Synapse Software Corporation
1000869,Texas Instruments Incorporated
1000870,Atari
1000871,On-Line Systems
1000871,"StarCraft, Inc."
1000873,Ectron
1000874,Crystalware
1000875,Chameleon Software
1000875,Adventure International
1000876,GL
1000876,"U.S. Billiards, Inc."
1000877,"Microcomputer Games, Inc."
1000877,The Avalon Hill Game Company
1000878,Synapse Software Corporation
1000879,"Apollo, Inc."
1000880,Adventure International
1000881,Zaccaria
1000882,Sirius Software
1000883,Tiger Electronics
1000884,Coleco
1000884,"Universal Co., Ltd."
1000885,Jaleco Ltd.
1000885,Century Electronics
1000886,CE Software
1000887,CE Software
1000888,Zircon International
1000890,Acetronic
1000890,Philips Semiconductors
1000891,Sinclair Research
1000892,Gakken
1000893,Sears
1000894,Magnavox
1000896,Coleco
1000896,Dave Nutting Associates
1000898,Tandy
1000898,Spectral Associates
1000899,Sirius Software
1000900,Falcon
1000900,Zaccaria
1000901,Falcon
1000901,Zaccaria
1000902,The Avalon Hill Game Company
1000902,"Microcomputer Games, Inc."
1000904,The Avalon Hill Game Company
1000904,"Microcomputer Games, Inc."
1000905,Tactical Design Group
1000905,"SSI (Strategic Simulations, Inc.)"
1000906,Kiya Overseas Industry
1000906,"Microcomputer Games, Inc."
1000907,"Automated Simulations, Inc."
1000908,Sirius Software
1000909,Epyx
1000909,"Automated Simulations, Inc."
1000910,Level-10
1000911,"Automated Simulations, Inc."
1000911,Epyx
1000912,GL
